order,field,type,lookup_file
1,date,datetime,
2,topic,lookup,topic.csv
3,region,lookup,region.csv
4,location,lookup_hierarchical,location.csv
5,sa_category,lookup,sa_category.csv
6,editor,lookup,editor.csv
7,source,lookup,source.csv
8,publish,boolean,
9,publish_rss,boolean,
10,article_type,lookup,article_type.csv
11,supplier,lookup,supplier.csv
12,tracking_id,text,
13,agent,text,
14,distribute,lookup_hierarchical,distribute.csv
15,report_details,text,
16,report_date,datetime,
17,report_by,lookup,staff.csv
18,send_by,lookup,staff.csv
19,status,boolean
20,editors_note,text,
21,headline,text,
22,bloomberg_headline,text,
23,sub_headline,text,
24,summary,text,
25,body,text,
