id,topic
87,"Acquiring Agreement"
31,Awards
20,Bankruptcy
61,"Business Plan"
26,"Business Tieup"
52,"Cease Production"
71,"Clinical Trial Results"
46,"Closing Facility"
30,"Community Service"
27,"Company reorganization"
32,"Construction of Facility"
68,"Contract Awarded"
82,"Corporate Announcement"
39,"Disaster effects and responses"
58,Divesting
73,"Drug Approval"
13,Earnings
76,"Environment Issue"
47,"Environmental Report"
72,"Establish Holding Company"
53,"Establish New Company"
64,"Establish Subsidiary"
66,"Establishment of New Branch"
34,"Executive appointment"
60,"General Announcement"
40,Government
69,"Increase Production"
74,Investment
43,IPO
51,"Issue of Stocks/Bonds"
54,"Joint Venture"
48,"Legal Action"
59,"Licensing Agreement"
81,"Liquidation of Assets"
65,"Loans & Financing"
55,"Management Change"
42,"Merger & Acquisition"
33,"Miscellaneous Achievement"
28,"New employee benefits"
77,"New Listing on Exchange"
37,"New market for product"
24,"New Product"
36,"New Security Issue"
25,"New Service"
85,"New store opening"
18,"No topic"
83,"Press release summary"
49,"Product defect or recall"
44,"Production report"
56,"Race Results"
78,"Rating Report"
57,"Renewal of Contract"
63,"Repurchase of Stock"
62,"Research / Industry Report"
35,"Research and development"
75,"Revised Earnings"
45,"Sales Results"
67,"Shareholders Meeting"
79,"Sponsorship of Event"
50,"Stock--buying or selling"
38,"Tokyo Stock Exchange"
41,"Trade Show or Conference"
70,"Transfer Equity"
